Subject,PictureName,EmpathyRatings
51,E_los10,1
52,E_los10,2
53,E_los10,2
54,E_los10,2
55,E_los10,5
56,E_los10,1
57,E_los10,1
58,E_los10,2
59,E_los10,2
60,E_los10,1
61,E_los10,1
62,E_los10,2
63,E_los10,1
64,E_los10,1
65,E_los10,1
11,E_los11,2
12,E_los11,5
13,E_los11,2
15,E_los11,2
18,E_los11,1
20,E_los11,3
21,E_los11,1
22,E_los11,1
23,E_los11,1
24,E_los11,2
26,E_los11,2
28,E_los11,1
29,E_los11,1
30,E_los11,1
31,E_los11,3
32,E_los11,1
33,E_los11,4
34,E_los11,3
35,E_los11,3
36,E_los11,2
37,E_los11,3
38,E_los11,2
39,E_los11,2
40,E_los11,3
41,E_los11,3
42,E_los11,2
45,E_los11,5
46,E_los11,3
47,E_los11,3
48,E_los11,2
49,E_los11,1
50,E_los11,1
51,E_los11,1
52,E_los11,2
53,E_los11,2
54,E_los11,2
55,E_los11,4
56,E_los11,2
57,E_los11,3
58,E_los11,3
59,E_los11,2
60,E_los11,1
61,E_los11,1
62,E_los11,2
63,E_los11,1
64,E_los11,1
65,E_los11,2
11,E_los12,3
12,E_los12,2
13,E_los12,1
15,E_los12,2
18,E_los12,1
20,E_los12,2
21,E_los12,1
22,E_los12,1
23,E_los12,1
24,E_los12,1
26,E_los12,1
28,E_los12,1
29,E_los12,1
30,E_los12,1
31,E_los12,3
32,E_los12,1
33,E_los12,1
34,E_los12,1
35,E_los12,2
36,E_los12,3
37,E_los12,1
38,E_los12,2
39,E_los12,2
40,E_los12,4
41,E_los12,2
42,E_los12,2
45,E_los12,5
46,E_los12,3
47,E_los12,3
48,E_los12,2
49,E_los12,1
50,E_los12,3
51,E_los12,1
52,E_los12,3
53,E_los12,1
54,E_los12,1
55,E_los12,5
56,E_los12,1
57,E_los12,1
58,E_los12,2
59,E_los12,2
60,E_los12,1
61,E_los12,1
62,E_los12,2
63,E_los12,2
64,E_los12,1
65,E_los12,1
11,E_los13,2
12,E_los13,2
13,E_los13,1
15,E_los13,2
18,E_los13,1
20,E_los13,2
21,E_los13,1
22,E_los13,2
23,E_los13,1
24,E_los13,1
26,E_los13,1
28,E_los13,2
29,E_los13,1
30,E_los13,1
31,E_los13,2
32,E_los13,1
33,E_los13,3
34,E_los13,5
35,E_los13,2
36,E_los13,3
37,E_los13,1
38,E_los13,2
39,E_los13,1
40,E_los13,1
41,E_los13,1
42,E_los13,1
45,E_los13,3
46,E_los13,2
47,E_los13,3
48,E_los13,2
49,E_los13,1
50,E_los13,2
51,E_los13,1
52,E_los13,3
53,E_los13,2
54,E_los13,2
55,E_los13,5
56,E_los13,2
57,E_los13,3
58,E_los13,3
59,E_los13,2
60,E_los13,1
61,E_los13,1
62,E_los13,2
63,E_los13,1
64,E_los13,1
65,E_los13,1
11,E_los17,2
12,E_los17,2
13,E_los17,2
15,E_los17,2
18,E_los17,1
20,E_los17,2
21,E_los17,1
22,E_los17,1
23,E_los17,1
24,E_los17,2
26,E_los17,2
28,E_los17,2
29,E_los17,1
30,E_los17,1
31,E_los17,2
32,E_los17,1
33,E_los17,5
34,E_los17,5
35,E_los17,2
36,E_los17,2
37,E_los17,1
38,E_los17,3
39,E_los17,2
40,E_los17,1
41,E_los17,3
42,E_los17,2
45,E_los17,1
46,E_los17,2
47,E_los17,3
48,E_los17,2
49,E_los17,1
50,E_los17,3
51,E_los17,1
52,E_los17,2
53,E_los17,2
54,E_los17,2
55,E_los17,2
56,E_los17,2
57,E_los17,1
58,E_los17,2
59,E_los17,3
60,E_los17,1
61,E_los17,1
62,E_los17,2
63,E_los17,3
64,E_los17,2
65,E_los17,1
11,E_los18,3
12,E_los18,4
13,E_los18,3
15,E_los18,3
18,E_los18,2
20,E_los18,3
21,E_los18,2
22,E_los18,4
23,E_los18,3
24,E_los18,3
26,E_los18,3
28,E_los18,3
29,E_los18,1
30,E_los18,2
31,E_los18,3
32,E_los18,3
33,E_los18,3
34,E_los18,2
35,E_los18,3
36,E_los18,3
37,E_los18,3
38,E_los18,4
39,E_los18,3
40,E_los18,2
41,E_los18,2
42,E_los18,3
45,E_los18,4
46,E_los18,3
47,E_los18,3
48,E_los18,3
49,E_los18,2
50,E_los18,3
51,E_los18,3
52,E_los18,4
53,E_los18,3
54,E_los18,3
55,E_los18,3
56,E_los18,3
57,E_los18,2
58,E_los18,3
59,E_los18,3
60,E_los18,3
61,E_los18,1
62,E_los18,3
63,E_los18,3
64,E_los18,3
65,E_los18,3
11,E_los19,2
12,E_los19,2
13,E_los19,2
15,E_los19,2
18,E_los19,2
20,E_los19,3
21,E_los19,2
22,E_los19,1
23,E_los19,1
24,E_los19,2
26,E_los19,2
28,E_los19,1
29,E_los19,1
30,E_los19,2
31,E_los19,2
32,E_los19,1
33,E_los19,3
34,E_los19,5
35,E_los19,3
36,E_los19,3
37,E_los19,2
38,E_los19,3
39,E_los19,2
40,E_los19,1
41,E_los19,3
42,E_los19,2
45,E_los19,4
46,E_los19,3
47,E_los19,2
48,E_los19,2
49,E_los19,2
50,E_los19,1
51,E_los19,2
52,E_los19,3
53,E_los19,2
54,E_los19,2
55,E_los19,2
56,E_los19,2
57,E_los19,2
58,E_los19,3
59,E_los19,2
60,E_los19,3
61,E_los19,2
62,E_los19,2
63,E_los19,2
64,E_los19,2
65,E_los19,2
11,E_los2,1
12,E_los2,5
13,E_los2,3
15,E_los2,2
18,E_los2,1
20,E_los2,2
21,E_los2,1
22,E_los2,1
23,E_los2,1
24,E_los2,2
26,E_los2,2
28,E_los2,3
29,E_los2,1
30,E_los2,1
31,E_los2,2
32,E_los2,1
33,E_los2,2
34,E_los2,2
35,E_los2,3
36,E_los2,1
37,E_los2,2
38,E_los2,2
39,E_los2,2
40,E_los2,1
41,E_los2,3
42,E_los2,2
45,E_los2,5
46,E_los2,3
47,E_los2,2
48,E_los2,2
49,E_los2,2
50,E_los2,1
51,E_los2,1
52,E_los2,2
53,E_los2,2
54,E_los2,2
55,E_los2,2
56,E_los2,2
